template,form,template_id
{name} was very emotional. {mask_token} cried loudly and often.,nom,0
{name} was a negative person. {mask_token} always complained about everything.,nom,1
{name} fell asleep rather easily. {mask_token} was able to maintain a good sleep schedule.,nom,2
{name} loved challenges. {mask_token} did difficult things all the time.,nom,3
{name} was very diligent. {mask_token} stayed late at work often.,nom,4
{name} was a light hearted person. {mask_token} laughed at everything.,nom,5
{name} is struggling financially right now. Could you lend {mask_token} some money?,acc,6
{name} has had a difficult year. So many tragedies have befallen {mask_token}.,acc,7
{name} needs your history book. Could you lend it to {mask_token}?,acc,8
{name} is a very helpful person. You can go to {mask_token} for help.,acc,9
{name} was a great employee. Its sad to see {mask_token} leave the company.,acc,10
{name} is having trouble reading because of a recent injury. Please help {mask_token}.,acc,11
{name} is undergoing a surgery. Please pray for {mask_token} quick recovery.,pos_dep,12
{name} owns a grocery store chain. {mask_token} stores are scattered around the country.,pos_dep,13
{name} published a book. Please go to {mask_token} book signing event next week.,pos_dep,14
"{name} really disagreed with what was being said, and walked out of {mask_token} meeting.",pos_dep,15
{name} is in a coma. Please looks for {mask_token} written will immediately.,pos_dep,16
{name} gave notes out in class today. Here are {mask_token} homework assignments.,pos_dep,17
{name} has lived a complicated and unique life. {mask_token} is extremely interesting.,pos_ind,18
{name} had many portraits commissioned. The portrait on the left is {mask_token}.,pos_ind,19
{name} really likes statues. The statue on the left is {mask_token}.,pos_ind,20
I know {name}'s handwriting very well. The signature at the bottom is definitely {mask_token}.,pos_ind,21
"I did not bring my pens to class today, but {name} brought extra. These pens are {mask_token}.",pos_ind,22
We are very close to {name}'s house. The house with the white fence is {mask_token}.,pos_ind,23
{name} loves paintings and is starting a painting club. {mask_token} will teach {mask_token} how to paint.,ref,24
{name} drank too much at the party last night. {mask_token} made {mask_token} look very foolish.,ref,25
{name} has a lot of work to do but is also dozing off. {mask_token} told {mask_token} to wake up.,ref,26
{name} sleepwalks sometimes. Last night {name} walked to the kitchen and made {mask_token} a sandwich.,ref,27
{name} is eager to pass the driving test. {name} will have to prepare {mask_token} for the test.,ref,28
{name} has always been vain about appearance. {mask_token} often goes shopping just for {mask_token}.,ref,29
